# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	1807
#@/user_id	170f9b2c-d1c4-4432-a096-8827b720de9d
a 	啊	c=9 d=1.18438 t=1768
guang gao 	廣告	c=1 d=1 t=1438
guang ge 	光哥	c=2 d=1.94649 t=542
gui dao 	軌道	c=1 d=1 t=730
guo 	過	c=4 d=1.83414 t=1344
guo lai 	過來	c=3 d=2.37519 t=644
guo lv 	過濾	c=1 d=1 t=917
guo yi xia 	國一下	c=1 d=1 t=1302
ha 	哈	c=4 d=1.05003 t=1775
ha ha 	哈哈	c=7 d=1.80426 t=1790
ha ha ha 	哈哈哈	c=3 d=1.6057 t=814
hai 	還	c=3 d=1.03307 t=848
hai dei 	還得	c=1 d=1 t=733
hai mei 	還沒	c=2 d=1.01116 t=1196
hai shi 	還是	c=4 d=1.21046 t=1464
hai you 	還有	c=2 d=1.75201 t=877
hai zai 	還在	c=1 d=1 t=1324
han wo 	酣臥	c=1 d=1 t=81
hao 	好	c=22 d=3.07529 t=1676
hao ba 	好吧	c=2 d=1.73712 t=1286
hao de 	好的	c=3 d=1.05167 t=1737
hao di 	好滴	c=1 d=1 t=638
hao duo 	好多	c=1 d=1 t=1215
hao jiu 	好久	c=1 d=1 t=888
hao kan 	好看	c=0 d=0.1 t=401
hao xiang 	好像	c=1 d=1 t=732
he 	和	c=3 d=1.0973 t=1160
he 	喝	c=4 d=1.23372 t=664
he he 	呵呵	c=1 d=1 t=69
he nai cha 	和奶茶	c=1 d=1 t=12
he wo 	和我	c=1 d=1 t=80
hei 	嘿	c=1 d=1 t=687
hen 	很	c=3 d=1.70546 t=455
hen jiu 	很久	c=1 d=1 t=738
hen kuai 	很快	c=1 d=1 t=1524
hou 	後	c=20 d=3.16651 t=1723
hou tai 	後臺	c=1 d=1 t=1279
hou xu 	後續	c=2 d=1.015 t=1056
hu jiao 	呼叫	c=1 d=1 t=541
hu lve 	忽略	c=1 d=1 t=492
hua dong 	滑動	c=1 d=1 t=1115
hua dong 	華東	c=1 d=1 t=1114
hua mian 	畫面	c=1 d=1 t=718
huan 	換	c=1 d=1 t=66
huan cun 	緩存	c=5 d=2.62862 t=1672
huan dun 	換噸	c=1 d=1 t=1430
huan jing 	環境	c=3 d=1.00272 t=1400
hui 	會	c=15 d=3.90392 t=1638
hui bei 	會被	c=0 d=0.1 t=393
hui bei wo 	會被我	c=1 d=1 t=394
hui da 	回答	c=1 d=1 t=388
hui fu 	回覆	c=1 d=1 t=1210
hui fu 	恢復	c=5 d=2.9644 t=1665
hui jia 	回家	c=1 d=1 t=289
hui lai 	回來	c=1 d=1 t=352
hui wu 	會晤	c=1 d=1 t=1209
huo 	或	c=1 d=1 t=1545
huo qu 	獲取	c=8 d=3.43704 t=1590
ji hua 	計劃	c=2 d=1.08152 t=558
ji hui 	機會	c=1 d=1 t=821
ji huo 	激活	c=1 d=1 t=1635
ji shu 	技術	c=1 d=1 t=250
jia 	加	c=1 d=1 t=1516
jia 	家	c=1 d=1 t=1757
jia ban 	加班	c=4 d=1.55043 t=655
jia ban gong si 	加班公司	c=1 d=1 t=261
jia you 	加油	c=2 d=1.99501 t=372
jian ge 	間隔	c=2 d=1.94176 t=1547
jian gong 	監工	c=1 d=1 t=690
jian ji 	剪輯	c=3 d=1.09149 t=1130
jian kang 	健康	c=2 d=1.55711 t=1586
jian pan 	鍵盤	c=2 d=1.80252 t=445
jian ting 	監聽	c=1 d=1 t=1609
jian zhi 	兼職	c=1 d=1 t=62
jiang 	將	c=2 d=1.45158 t=996
jie 	潔	c=2 d=1.97045 t=370
jie chu 	接觸	c=2 d=1.93707 t=32
jie chu 	解除	c=2 d=1.00066 t=1499
jie dao 	接到	c=1 d=1 t=182
jie dao 	街道	c=1 d=1 t=183
jie ju 	結局	c=1 d=1 t=1170
jie jue 	解決	c=3 d=2.03258 t=1176
jie kou 	接口	c=3 d=2.14735 t=1649
jin bu qu 	進不去	c=1 d=1 t=470
jin du 	進度	c=1 d=1 t=1030
jin lai 	進來	c=1 d=1 t=1269
jin ri 	今日	c=1 d=1 t=421
jin ru 	進入	c=2 d=1.00942 t=1408
jin tian 	今天	c=8 d=1.01434 t=1654
jin wan 	今晚	c=1 d=1 t=1594
jin xing 	進行	c=1 d=1 t=1626
jing chang 	經常	c=1 d=1 t=1158
jiu 	就	c=12 d=2.72665 t=1799
jiu 	舊	c=1 d=1 t=1262
jiu shi 	就是	c=1 d=1 t=1716
jiu you 	就有	c=1 d=1 t=1108
ju bao 	舉報	c=1 d=1 t=340
ju li 	距離	c=1 d=1 t=875
ju ran 	居然	c=1 d=1 t=847
kai 	開	c=3 d=2.86112 t=899
kai che 	開車	c=1 d=1 t=24
kai gong 	開工	c=1 d=1 t=1525
kai guan 	開關	c=1 d=1 t=1447
kai shi 	開始	c=4 d=2.73434 t=1120
kan 	看	c=3 d=1.06221 t=1755
kan 	砍	c=1 d=1 t=395
kan dao 	看到	c=3 d=1.00568 t=1786
kan fa 	看法	c=1 d=1 t=327
kan kan 	看看	c=6 d=1.45664 t=1328
kao lv 	考慮	c=1 d=1 t=1483
ke eng 	可嗯	c=1 d=1 t=271
ke lian 	可憐	c=1 d=1 t=1679
ke neng 	可能	c=1 d=1 t=272
ke pa 	可怕	c=1 d=1 t=194
ke xi 	可惜	c=1 d=1 t=1680
ke yi 	可以	c=13 d=1.66826 t=1742
ke zhi 	剋制	c=1 d=1 t=1750
kong 	空	c=1 d=1 t=1544
kong tiao 	空調	c=1 d=1 t=817
kou zhong 	口中	c=1 d=1 t=283
kuan 	款	c=1 d=1 t=851
la 	啦	c=1 d=1 t=1102
la 	拉	c=4 d=2.82975 t=1472
la ji 	垃圾	c=1 d=1 t=406
lai 	來	c=3 d=1.65798 t=683
lai de ji 	來得及	c=1 d=1 t=1522
lai yuan 	來源	c=6 d=1.25999 t=1136
lan ban 	籃板	c=1 d=1 t=1320
lan ya 	藍牙	c=1 d=1 t=226
lao 	老	c=1 d=1 t=63
lao ban 	老闆	c=1 d=1 t=1321
lao tie 	烙鐵	c=1 d=1 t=126
lao tie 	老鐵	c=1 d=1 t=127
le 	了	c=62 d=8.91919 t=1796
leng dong shi 	冷凍室	c=1 d=1 t=836
li ke 	立刻	c=4 d=1.85824 t=1620
li mian 	裏面	c=1 d=1 t=1377
lian jie 	連接	c=2 d=1.98511 t=1617
liao dao 	料到	c=1 d=1 t=251
liao qi lai 	聊起來	c=1 d=1 t=252
lin shi 	臨時	c=1 d=1 t=1794
ling dao 	領導	c=1 d=1 t=308
ling hua qian 	零花錢	c=1 d=1 t=707
ling yi tai 	另一臺	c=1 d=1 t=609
lu 	露	c=1 d=1 t=269
lu jing 	路徑	c=3 d=2.07798 t=631
lu kou 	路口	c=1 d=1 t=622
luo ji 	邏輯	c=3 d=1.10145 t=1492
ma 	嗎	c=19 d=2.10665 t=1789
ma jia 	馬甲	c=0 d=0.1 t=1105
ma jia xian 	馬甲線	c=1 d=1 t=1106
mai 	買	c=7 d=3.24447 t=1764
mai dian 	埋點	c=7 d=1.32548 t=1137
mai dian 	賣點	c=1 d=1 t=413
mai dou 	麥兜	c=1 d=1 t=1309
mang 	忙	c=2 d=1.00352 t=1771
mang feng 	忙瘋	c=1 d=1 t=649
mao si 	貌似	c=1 d=1 t=1045
mei 	沒	c=6 d=1.77334 t=1781
mei bi yao 	沒必要	c=1 d=1 t=1216
mei ci 	每次	c=4 d=1.5732 t=1622
mei cuo 	沒錯	c=1 d=1 t=781
mei ge 	每隔	c=2 d=1.99005 t=1633
mei shao nv 	美少女	c=0 d=0.1 t=99
mei shao nv zhan shi 	美少女戰士	c=1 d=1 t=100
mei shi 	沒事	c=2 d=1.68386 t=102
mei wei 	美味	c=1 d=1 t=98
mei you 	沒有	c=3 d=1.01096 t=1395
mi mi 	祕密	c=1 d=1 t=435
mian ban 	面板	c=2 d=1.02774 t=1133
miao shu 	描述	c=1 d=1 t=1251
ming bai 	明白	c=1 d=1 t=1101
ming zi 	名字	c=1 d=1 t=227
mo diao 	抹掉	c=1 d=1 t=333
mo ren 	默認	c=1 d=1 t=1341
mou ge 	某個	c=1 d=1 t=714
na 	哪	c=10 d=1.64999 t=1762
na 	那	c=3 d=1.77597 t=1514
na dao shi 	那倒是	c=1 d=1 t=169
na jiu 	那就	c=1 d=1 t=758
na ni 	納尼	c=1 d=1 t=448
na wei 	哪位	c=1 d=1 t=893
nai cha 	奶茶	c=2 d=1.01715 t=846
nai nai 	奶奶	c=0 d=0.1 t=1172
nan dao 	難道	c=1 d=1 t=186
nan de 	男的	c=0 d=0.1 t=139
nan de 	難得	c=0 d=0.1 t=138
nan de nv 	難得女	c=1 d=1 t=139
nan de nv de 	男的女的	c=1 d=1 t=140
nan guai 	難怪	c=1 d=1 t=969
ne 	呢	c=4 d=1.51104 t=1736
nei 	內	c=1 d=1 t=1536
nei rong 	內容	c=4 d=1.01114 t=1608
neng 	能	c=3 d=1.14582 t=1480
ni 	你	c=26 d=3.39373 t=1756
ni men 	你們	c=1 d=1 t=640
niu bi 	牛逼	c=0 d=0.1 t=84
nv 	女	c=0 d=0.1 t=138
nv de 	女的	c=0 d=0.1 t=139
o 	哦	c=1 d=1 t=45
o 	噢	c=6 d=1.00403 t=1760
ou ke 	歐克	c=1 d=1 t=759
pa shi 	怕是	c=1 d=1 t=830
pao 	跑	c=1 d=1 t=512
pao chu lai 	跑出來	c=1 d=1 t=915
pei zhi 	配置	c=15 d=8.69592 t=1591
peng you 	朋友	c=1 d=1 t=1336
pian yi 	便宜	c=1 d=1 t=174
pin lv 	頻率	c=2 d=1.79057 t=1557
ping lun 	評論	c=1 d=1 t=600
ping mu 	屏幕	c=2 d=1.18731 t=337
pu tong 	普通	c=1 d=1 t=1275
qi dong 	啓動	c=2 d=1.27253 t=1624
qi lai 	起來	c=1 d=0.380832 t=768
qi ta 	其他	c=3 d=1.33262 t=1161
qian 	錢	c=1 d=1 t=1319
qian tai 	前臺	c=1 d=1 t=1282
qiang kou 	槍口	c=1 d=1 t=1387
qiao 	巧	c=1 d=1 t=688
qie huan 	切換	c=1 d=1 t=1281
qin kuai 	勤快	c=1 d=1 t=686
qing 	請	c=1 d=1 t=491
qing kong 	清空	c=2 d=1.91851 t=1690
qing kuang 	情況	c=3 d=1.72005 t=1485
qing ni 	請你	c=2 d=1.72615 t=75
qing qiu 	請求	c=1 d=1 t=1296
qiu zhu 	求助	c=1 d=1 t=549
qu 	去	c=6 d=1.78802 t=1473
qu 	取	c=2 d=1.0276 t=1474
qu chu 	去除	c=1 d=1 t=901
qu guo 	去過	c=1 d=1 t=1199
que ren 	確認	c=1 d=1 t=942
que shi 	確實	c=1 d=1 t=1349
qun ou 	羣毆	c=1 d=1 t=1179
ran hou 	然後	c=2 d=1.00014 t=1797
ren 	人	c=1 d=1 t=1164
ren he 	任何	c=1 d=1 t=1612
ren jia 	人家	c=1 d=1 t=1105
ren wei 	認爲	c=1 d=1 t=1097
ren zhu 	忍住	c=1 d=1 t=1103
ri chang 	日常	c=1 d=1 t=1650
ru guo 	如果	c=3 d=1.62336 t=1406
ru he 	如何	c=1 d=1 t=332
ru kou 	入口	c=7 d=1.66498 t=1139
sa dan 	撒旦	c=0 d=0.1 t=1806
san ji 	三級	c=2 d=1.02774 t=1132
sha 	啥	c=2 d=1.08552 t=1757
sha diao 	殺掉	c=1 d=1 t=1266
sha dou you 	啥都有	c=1 d=1 t=1758
shan chu 	刪除	c=4 d=2.46689 t=1647
shang 	上	c=5 d=1.39383 t=1709
shang bao 	上報	c=2 d=1.956 t=577
shang ci 	上次	c=2 d=1.01777 t=1051
shang yi ci 	上一次	c=1 d=1 t=1540
shao deng 	稍等	c=1 d=1 t=213
she ji 	設計	c=0 d=0.1 t=792
she ji gao 	設計搞	c=1 d=1 t=793
she me 	什麼	c=5 d=1.02053 t=1734
she zhi 	設置	c=5 d=1.89184 t=1603
shen cang 	深藏	c=1 d=1 t=268
shen he 	審覈	c=3 d=1.53032 t=1722
shen ti 	身體	c=1 d=1 t=930
shen zhi 	甚至	c=1 d=1 t=440
sheng 	生	c=1 d=1 t=320
sheng chan 	生產	c=1 d=1 t=167
sheng ji 	升級	c=3 d=1.24808 t=1494
sheng xiao 	生效	c=2 d=1.75578 t=1041
shi 	是	c=24 d=3.20184 t=1779
shi 	時	c=21 d=2.60057 t=1777
shi bai 	失敗	c=2 d=1.58275 t=331
shi bu shi 	是不是	c=2 d=1.97045 t=483
shi fang 	釋放	c=1 d=1 t=1123
shi fou 	是否	c=1 d=1 t=909
shi hou 	時候	c=3 d=1.23916 t=1785
shi ji 	實際	c=1 d=1 t=1004
shi jian 	時間	c=7 d=3.29259 t=1546
shi jian dian 	時間點	c=1 d=1 t=989
shi ke 	時刻	c=1 d=1 t=715
shi pin 	視頻	c=6 d=2.42152 t=1129
shi shi 	試試	c=1 d=1 t=354
shi shi kan 	試試看	c=1 d=1 t=152
shi tang 	食堂	c=1 d=1 t=1773
shi ya 	是呀	c=1 d=1 t=1715
shi yin wei 	時因爲	c=1 d=1 t=1778
shi yong 	使用	c=2 d=1.22313 t=1714
shi zai 	實在	c=1 d=1 t=1241
shou bu niao 	受不鳥	c=1 d=1 t=74
shou ci 	首次	c=1 d=1 t=1623
shou dao 	收到	c=1 d=1 t=180
shou dong 	手動	c=1 d=1 t=1001
shou gan 	手感	c=1 d=1 t=436
shou ge 	首個	c=1 d=1 t=1008
shou quan 	授權	c=2 d=1.90484 t=1405
shou shi 	手勢	c=3 d=1.3428 t=1135
shu 	熟	c=1 d=1 t=278
shua xin 	刷新	c=14 d=6.0957 t=1640
shui 	誰	c=1 d=1 t=528
shui bing 	水兵	c=0 d=0.19802 t=96
shui bing you 	水兵有	c=1 d=1 t=93
shui bing yue 	水兵月	c=1 d=1 t=97
shui dao 	水稻	c=1 d=1 t=1655
shui dao 	睡到	c=1 d=1 t=1656
shui zai 	睡在	c=1 d=1 t=527
shun bian 	順便	c=2 d=1.93707 t=30
shun shou 	順手	c=1 d=1 t=1700
shun zhe 	順着	c=1 d=1 t=754
shuo 	說	c=3 d=1.01579 t=1800
si 	死	c=1 d=1 t=396
si you 	私有	c=1 d=1 t=1643
su du 	速度	c=1 d=1 t=104
suan le 	算了	c=1 d=1 t=52
sui ni 	隨你	c=1 d=1 t=137
suo yi 	所以	c=2 d=1.06555 t=799
ta 	他	c=1 d=1 t=276
ta 	它	c=1 d=0.118686 t=1172
ta jiu 	他就	c=1 d=1 t=300
ta men 	他們	c=2 d=1.015 t=1096
ta nai nai 	它奶奶	c=1 d=1 t=1173
tai 	太	c=1 d=1.05516 t=203
tai can 	太慘	c=1 d=1 t=316
tai jiu 	太久	c=2 d=1.00016 t=1780
tai man 	太慢	c=2 d=1.99501 t=73
tai mang 	太忙	c=1 d=1 t=1791
tai niu bi 	太牛逼	c=1 d=1 t=85
tang xia 	躺下	c=1 d=1 t=362
